No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
236;Telur Ayam;11/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
237;Telur Ayam;11/01/2019;Jawa Barat;Kota Depok;Pasar Agung;25000
238;Telur Ayam;11/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
239;Telur Ayam;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;26250
240;Telur Ayam;11/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
241;Telur Ayam;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
242;Telur Ayam;11/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;24000
243;Telur Ayam;11/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26000
244;Telur Ayam;11/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
245;Telur Ayam;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
246;Telur Ayam;11/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25500
247;Telur Ayam;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;25500
248;Telur Ayam;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
249;Telur Ayam;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
250;Telur Ayam;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25000
251;Telur Ayam;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
252;Telur Ayam;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24750
253;Telur Ayam;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
254;Telur Ayam;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
255;Telur Ayam;14/01/2019;Jawa Barat;Kota Depok;Pasar Agung;24500
256;Telur Ayam;14/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;25500
257;Telur Ayam;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25500
258;Telur Ayam;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
259;Telur Ayam;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;24250
260;Telur Ayam;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;23750
261;Telur Ayam;14/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;25500
262;Telur Ayam;14/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
263;Telur Ayam;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;24500
264;Telur Ayam;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25000
265;Telur Ayam;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
266;Telur Ayam;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
267;Telur Ayam;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
268;Telur Ayam;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25000
269;Telur Ayam;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
270;Telur Ayam;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;24000
271;Telur Ayam;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
272;Telur Ayam;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;25000
273;Telur Ayam;15/01/2019;Jawa Barat;Kota Depok;Pasar Agung;24250
274;Telur Ayam;15/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;25500
275;Telur Ayam;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;25500
276;Telur Ayam;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26000
277;Telur Ayam;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;22750
278;Telur Ayam;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;23250
279;Telur Ayam;15/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;25500
280;Telur Ayam;15/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
281;Telur Ayam;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23500
282;Telur Ayam;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;25000
283;Telur Ayam;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
284;Telur Ayam;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
285;Telur Ayam;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
286;Telur Ayam;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;25000
287;Telur Ayam;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;24250
288;Telur Ayam;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
289;Telur Ayam;16/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;25000
