No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
10870;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
10871;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;57500
10872;Cabai Rawit Merah;23/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;65000
10873;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;52500
10874;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;65000
10875;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Depok;Pasar Agung;60000
10876;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;50000
10877;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;55000
10878;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10879;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;50000
10880;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;52500
10881;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;57500
10882;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;55000
10883;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;60000
10884;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10885;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;45000
10886;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;40000
10887;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10888;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
10889;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;55000
10890;Cabai Rawit Merah;26/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;55000
10891;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;55000
10892;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;65000
10893;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Depok;Pasar Agung;60000
10894;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;55000
10895;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;55000
10896;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10897;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;45000
10898;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;52500
10899;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;57500
10900;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;52500
10901;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;60000
10902;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10903;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;52500
10904;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;42000
10905;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10906;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
10907;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;52500
10908;Cabai Rawit Merah;27/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;60000
10909;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;55000
10910;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;65000
10911;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Depok;Pasar Agung;60000
10912;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;55000
10913;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;55000
10914;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10915;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;42500
10916;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;52500
10917;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;60000
10918;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;55000
10919;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;65000
10920;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10921;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;55000
10922;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;49000
10923;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10924;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;65000
10925;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;52500
10926;Cabai Rawit Merah;28/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;55000
10927;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;55000
10928;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;65000
10929;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Depok;Pasar Agung;60000
10930;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;55000
10931;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;55000
10932;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10933;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;59000
10934;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;50000
10935;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;60000
10936;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;62500
10937;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;65000
10938;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10939;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;55000
10940;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;47000
10941;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10942;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
10943;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;52500
10944;Cabai Rawit Merah;29/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;55000
10945;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;52500
10946;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;65000
10947;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Depok;Pasar Agung;60000
10948;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;55000
10949;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;60000
10950;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10951;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;55000
10952;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;55000
10953;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;60000
10954;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;62500
10955;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;60000
10956;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10957;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;55000
10958;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;46000
10959;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10960;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
10961;Cabai Rawit Merah;30/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;55000
